,Screen Name,Id,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Botometer,Bot: 3.5 Threshold,Bot: 4.0 Threshold
1145,decollanz,50246323,12,3901,1084,3.6,1,1,21783,21411,123,1.2,0,0
1146,rainews,14060262,13,1103148,304,3628.78,1,1,235375,1552,7043,3.8,1,0
1147,sinstoploss,1170721608404740000,2,57,357,0.16,0,0,2960,1887,0,0.6,0,0
1148,maryfoxcrypto,1198680053770570000,2,4236,547,7.74,1,0,229,923,18,1.2,0,0
1149,cryptoizmedia,187055078,11,43253,241,179.47,1,0,1502,402,95,3.4,0,0
1150,patente7corso,196659724,11,337,3283,0.1,0,0,9205,56336,12,1.4,0,0
1151,finextra,17002481,13,55342,247,224.06,1,0,51511,330,2052,4.2,1,1
1152,cryptonabs,730477620945686000,5,120,454,0.26,0,0,1041,873,1,0.3,0,0
1153,habiezmaniz,1241043057161560000,1,62,102,0.61,0,0,129,0,0,3.2,0,0
1154,ducphan74027449,1366703994916100000,0,0,31,0.0,0,0,64,34,0,3.8,1,0
1155,sozibhasan20,1357617010696280000,0,13,173,0.08,0,0,55,47,0,3.4,0,0
1156,aortodox,1139250945492210000,2,103,440,0.23,0,0,2954,2613,1,3.0,0,0
1157,johnnybtc5,1134408228568280000,2,14,53,0.26,0,0,508,407,3,2.0,0,0
1158,spartanprotocol,1295255955840450000,1,10250,152,67.43,1,0,432,2952,116,1.4,0,0
1159,ohippoz,1374884930170260000,0,81,255,0.32,1,0,191,237,0,2.2,0,0
1160,niftynist,1374056278239150000,0,2022,37,54.65,0,0,59,2241,6,4.1,1,1
1161,andriespieternl,1032015476329720000,3,272,229,1.19,1,0,9068,14254,0,1.9,0,0
1162,diamondnft,1372618971220950000,0,543,418,1.3,0,0,18,370,3,2.3,0,0
1163,crypto_kuuga,1353614440055200000,0,41,99,0.41,0,0,514,191,2,1.6,0,0
1164,whaletrades,968796006576947000,3,48129,0,0.0,0,0,121315,376,526,4.4,1,1
1165,camera8man9,1323337272071210000,1,219,455,0.48,0,0,1331,1874,1,2.0,0,0
1166,eric_bigfund,961245568692502000,3,7383,329,22.44,1,0,1798,7536,85,0.2,0,0
1167,musky_meme,1288744062590170000,1,824,201,4.1,1,0,3058,8651,3,2.2,0,0
1168,dogecoinxx,1345898128042560000,0,11611,3,3870.33,0,0,1253,3,16,2.0,0,0
1169,misakiswerte,1371908493628740000,0,12,1007,0.01,0,0,3926,1123,0,2.8,0,0
1170,saksham57339078,1344651289125270000,1,38,172,0.22,0,0,711,2446,0,1.7,0,0
1171,middlechildpabk,885225812986699000,4,20380,1138,17.91,0,0,13102,24129,347,0.8,0,0
1172,quamnetwork,1350134937727320000,0,4515,38,118.82,1,0,46,49,5,3.0,0,0
1173,sridhar69137859,1275674785788430000,1,11,238,0.05,0,0,160,78,0,3.2,0,0
1174,mrx87312898,1209463703218910000,2,133,140,0.95,1,0,1045,782,0,1.6,0,0
1175,palashsaeed,1372131048696450000,0,0,16,0.0,0,0,30,15,0,4.1,1,1
1176,memeszil,1355188815145670000,0,3356,186,18.04,0,0,506,5179,7,1.9,0,0
1177,nowonbitcoin,884838317400915000,4,4278,424,10.09,1,0,32232,19426,21,4.4,1,1
1178,jabedalom522,1202154338610810000,2,3385,4883,0.69,1,0,2926,3452,1,3.4,0,0
1179,studentcoinorg,1294705216349140000,1,11628,38,306.0,1,0,132,18,27,2.0,0,0
1180,ca04ncqvwdpryzs,1342168902126610000,1,2,2,1.0,0,0,125,133,0,4.6,1,1
1181,morningfield_jp,791179523953795000,5,11649,68,171.31,0,0,444,1532,26,3.2,0,0
1182,zoltan555,2732722941,7,654,2178,0.3,1,0,14599,5429,5,1.3,0,0
1183,dogemos,948821285257146000,3,1574,1016,1.55,0,0,1643,2952,34,0.2,0,0
1184,keplrwallet,1168634833859270000,2,3267,39,83.77,1,0,420,2445,32,1.4,0,0
1185,mantanterindyah,1315205620660750000,1,22,34,0.65,0,0,71,1,0,3.5,1,0
1186,hoodpoodl,1258691884249200000,1,52,55,0.95,0,0,439,2957,0,3.4,0,0
1187,forsbergio,1041420873318710000,3,80,101,0.79,1,0,330,586,0,1.2,0,0
1188,tacoswapb,1368266609090030000,0,131,428,0.31,1,0,208,414,0,3.4,0,0
1189,imnazmul012,888719380258869000,4,3834,4687,0.82,0,0,2553,2650,7,3.2,0,0
1190,phorecrypto,2533810195,7,21243,581,36.56,1,0,1929,3202,178,1.6,0,0
1191,mnmastermind,2788784084,7,566,386,1.47,1,0,1296,1919,6,1.4,0,0
1192,getgraphene,1332095854304520000,1,2697,3,899.0,0,0,104,57,2,1.9,0,0
1193,arzu412412,3803187015,6,34,202,0.17,0,0,1532,1785,0,4.1,1,1
1194,1234995sanjac,962067435913281000,3,361,159,2.27,0,0,12321,19568,5,1.1,0,0
1195,zulkuf145378,1112208470781160000,2,23,144,0.16,0,0,577,1793,1,1.2,0,0
1196,oyepana2,2934762867,7,170,626,0.27,0,0,2653,11404,3,0.2,0,0
1197,yowcryps,969329078586302000,3,278,1093,0.25,0,0,5283,7441,8,0.3,0,0
1198,alex343,33829032,12,308,423,0.73,0,0,9835,21014,11,0.0,0,0
1199,jimcramer,14216123,13,1652473,652,2534.47,1,1,115748,13172,16030,0.6,0,0
1200,raikiel2089,2762767562,7,1159,3848,0.3,1,0,10529,9048,5,6.0,1,1
1201,caians2,1253538474453420000,1,178,731,0.24,0,0,1496,1357,1,2.3,0,0
1202,nftzebras,1372556510136570000,0,477,547,0.87,1,0,924,1097,0,2.9,0,0
1203,thecryptoowl,1338882299824380000,1,132,114,1.16,1,0,139,376,1,2.1,0,0
1204,bandprotocol,993805028182781000,3,73990,61,1212.95,1,0,1296,600,627,1.8,0,0
1205,ethereum,2312333412,7,844831,0,0.0,1,1,2951,2189,7585,2.2,0,0
1206,ollari_mark,895227046938394000,4,53,183,0.29,0,0,1336,10722,0,0.9,0,0
1207,domguinard,122665653,11,4239,701,6.05,1,0,2006,871,301,1.4,0,0
1208,arianeeproject,977015435949469000,3,3824,120,31.87,1,0,368,792,61,0.9,0,0
1209,evrythng,156727411,11,11936,3241,3.68,1,1,9093,2287,795,3.2,0,0
1210,adamoonshot,1363060350170500000,0,7,46,0.15,0,0,20,14,0,3.6,1,0
1211,bitcoinuzmani,2580893521,7,126259,116824,1.08,1,0,299,24,23,4.4,1,1
1212,mursahh,1338930992069840000,1,69,168,0.41,0,0,194,229,0,2.2,0,0
1213,johigster,1321900345468030000,1,127,362,0.35,0,0,1252,1036,9,2.2,0,0
1214,idreeskhanz107,3322463972,6,28,180,0.16,0,0,219,111,0,2.1,0,0
1215,dvagada1,1364934663744200000,0,1,17,0.06,0,0,5,2,0,4.2,1,1
1216,thecouncillor_,1270433097260190000,1,2320,406,5.71,0,0,28229,169,5,1.8,0,0
1217,bitcoinsapiens,1333823429041070000,1,928,157,5.91,0,0,114,249,25,3.4,0,0
1218,breedlove22,285636352,10,65500,2626,24.94,1,0,9400,51586,1202,0.6,0,0
1219,ukvaporizer,2785332022,7,733,1025,0.72,0,0,66297,22931,13,2.9,0,0
1220,ari_tomo_crypt,565215646,9,523,496,1.05,1,0,46603,32051,10,0.6,0,0
1221,crypto_shogun,877488451754512000,4,15431,1059,14.57,1,0,46151,73951,268,0.4,0,0
1222,james67589205,1359881996781160000,0,38,99,0.38,1,0,1097,906,0,3.4,0,0
1223,anonhjkl,476088509,9,117,158,0.74,1,0,526,1128,6,1.6,0,0
1224,comande95391338,1339284328363260000,1,1,29,0.03,0,0,63,12,0,4.0,1,1
1225,khanhtranghd,863027152286920000,4,90,215,0.42,0,0,1071,7549,1,3.5,1,0
1226,paul_tolulope,1965172236,8,90,248,0.36,0,0,63,27,0,4.0,1,1
1227,mesawine1,945660011446984000,4,5485,193,28.42,0,0,6014,5723,115,0.6,0,0
1228,jtakhar1,949032427237801000,3,18,109,0.17,0,0,83,142,0,2.0,0,0
1229,stackersatoshi,1265906167106190000,1,42593,242,176.0,0,0,1218,1031,226,1.4,0,0
1230,golanggaling4,1241467126486970000,1,60,101,0.59,0,0,130,0,0,2.7,0,0
1231,funandlove4,1375001414510890000,0,3,243,0.01,0,0,138,186,0,3.8,1,0
1232,raizohizoh,1315204902231000000,1,21,21,1.0,0,0,71,1,0,4.0,1,1
1233,thepixelartbot,932369729980977000,4,2720,11,247.27,0,0,137734,207,40,3.7,1,0
1234,sha_jaky,1283684330934430000,1,23,111,0.21,0,0,43,32,0,3.0,0,0
1235,ape_tax,1368665963177110000,0,1078,0,0.0,0,0,13,1,20,4.0,1,1
1236,kassandra_vega,238286829,10,2,0,0.0,0,0,0,0,0,6.0,1,1
1237,xendfinance,1305119080656110000,1,33765,26,1298.65,1,0,172,529,96,2.1,0,0
1238,uniswap,984188226826010000,3,309499,83,3728.9,1,1,936,1128,2491,0.8,0,0
1239,eccpay,1360018433694300000,0,106,0,0.0,1,0,5288,4,1,4.0,1,1
1240,traderwisdom,904191421158010000,4,17126,0,0.0,1,0,43627,43,336,4.2,1,1
1241,davidse59114467,1242153472860050000,1,22,104,0.21,0,0,257,83,1,2.2,0,0
1242,cryptor0ller,291840291,10,33610,2401,14.0,1,0,3875,10693,105,1.2,0,0
1243,iamdcinvestor,956670268596015000,3,35171,530,66.36,0,0,20373,29672,878,0.8,0,0
1244,reflectorfin,1337906888713920000,1,1427,12,118.92,0,0,76,2,2,3.9,1,0
1245,crpytobethany,1021788935503130000,3,1251,92,13.6,0,0,1275,6,2,4.4,1,1
1246,thecryptodog,887748030304329000,4,359222,3180,112.96,1,0,57293,168163,5751,0.4,0,0
1247,wallstreetbets,588569122,9,513724,331,1552.04,1,0,5133,1157,1975,0.2,0,0
1248,frogefinance,1373340319148820000,0,255,70,3.64,1,0,157,250,0,2.0,0,0
1249,pickmejunseok7,1271301235640010000,1,705,2675,0.26,1,0,19371,19475,6,1.9,0,0
1250,looseeventsng,1018930644,9,3322,120,27.68,1,0,10372,1901,41,1.4,0,0
1251,dinisguarda,20222744,12,51425,6983,7.36,0,0,147951,39768,3830,4.3,1,1
1252,citiesabc__,353589066,10,5317,4069,1.31,1,0,6624,2820,481,3.8,1,0
1253,openbusinesshq,4252398563,6,20175,10609,1.9,1,0,28166,31328,850,4.0,1,1
1254,nftpromo,3020285767,6,229,20,11.45,0,0,215,74,0,1.4,0,0
1255,virgogurli,1320342685857670000,1,1,48,0.02,0,0,227,233,0,3.2,0,0
1256,mrpulse6,1247426043805410000,1,108,140,0.77,0,0,196,629,2,1.7,0,0
1257,riz9914,1375183953779360000,0,2,46,0.04,0,0,41,33,0,3.9,1,0
1258,mrppssrr227799,923464013022773000,4,7,15,0.47,0,0,66,83,0,2.6,0,0
1259,visanews,309285803,10,109212,3173,34.42,1,1,6804,1806,831,2.8,0,0
1260,bankblvd,1270518751507760000,1,768,38,20.21,1,0,82,259,13,2.1,0,0
1261,slmodi01,1150732415314190000,2,22,279,0.08,0,0,314,226,0,3.7,1,0
1262,0x1952msk,1372058346807720000,0,28,185,0.15,0,0,123,705,0,2.3,0,0
1263,flashdeutsch,1192780462235770000,2,3678,48,76.63,1,0,2930,52,23,3.4,0,0
1264,yeutudaumara21,1336319563193950000,1,1,83,0.01,0,0,94,56,0,3.0,0,0
1265,wolfcookiebtc,1276520709775250000,1,188,252,0.75,0,0,312,1272,6,2.0,0,0
1266,jeongyeeeeooon,1331637466625800000,1,168,1865,0.09,0,0,10394,7707,0,2.1,0,0
1267,notoriusbgb,21075649,12,323,1300,0.25,0,0,10171,43798,8,0.2,0,0
1268,patmcafeeshow,137862496,11,2046103,2887,708.73,1,1,73420,327,3641,0.3,0,0
1269,japariniost,1358977531710320000,0,577,176,3.28,1,0,454,2521,0,3.4,0,0
1270,katieh72026867,1374085736656470000,0,18,302,0.06,0,0,23,21,0,4.2,1,1
1271,realchaingames,1290566926758860000,1,16989,125,135.91,1,0,1684,4331,108,1.6,0,0
1272,cryptohold3,1252572036507090000,1,500,1324,0.38,0,0,17087,29456,2,2.0,0,0
1273,ravercrypto,1264354640595820000,1,2676,224,11.95,1,0,9950,9365,33,1.6,0,0
1274,tertwtw3rtw21,1332333524574110000,1,1,69,0.01,0,0,84,51,0,3.6,1,0
1275,sgr96779531,1259444918327610000,1,1,45,0.02,0,0,22,146,0,3.4,0,0
1276,miriamh37422692,1375400578004620000,0,1,5,0.2,0,0,9,0,0,4.5,1,1
1277,fotis_super,1369732212384550000,0,51,13,3.92,0,0,1828,302,3,3.2,0,0
1278,gem_detecter,1219599867347120000,1,27875,3,9291.67,0,0,320,1295,289,1.9,0,0
1279,1sereda1,1314963387105840000,1,7,636,0.01,0,0,566,131,0,4.4,1,1
1280,katlig,58886871,12,334,522,0.64,1,0,6688,55508,5,0.8,0,0
1281,meo_kimmi,1368170099262230000,0,8,123,0.07,0,0,172,106,0,3.4,0,0
1282,markymark_29,1293119587819450000,1,98,4451,0.02,1,0,26116,19935,0,6.0,1,1
1283,nishantsharma87,48299487,12,2624,1093,2.4,1,0,5419,8763,96,0.0,0,0
1284,bitrivermining,1248965096430170000,1,865,188,4.6,1,0,166,298,17,1.8,0,0
1285,mer36577990,1331908264234200000,1,4,31,0.13,0,0,340,117,0,2.9,0,0
1286,okexafrica,1352761308337340000,0,500,14,35.71,1,0,421,301,0,2.6,0,0
1287,skalenetwork,998721198958641000,3,19148,1,19148.0,1,0,1059,1769,182,1.8,0,0
1288,celernetwork,969093664348631000,3,39843,291,136.92,1,0,1981,1279,346,1.4,0,0
1289,maticnetwork,1265936349405810000,1,3088,9,343.11,1,0,0,1,15,6.0,1,1
1290,imsumitchouhan,4821814161,5,1113,4716,0.24,1,0,4929,11136,42,2.9,0,0
1291,eth_en,204279080,11,53196,439,121.18,1,1,5939,4621,698,2.0,0,0
1292,seervision,730066054840455000,5,83,33,2.52,1,0,11,0,11,4.1,1,1
1293,prsntsforex,1360386601,8,7834,831,9.43,1,0,57934,20465,240,3.2,0,0
1294,betazolez,1315020099141550000,1,21,32,0.66,0,0,68,1,0,4.1,1,1
1295,trieubaccb,1202176350104120000,2,56,692,0.08,1,0,828,449,0,2.0,0,0
1296,trieubac,2748219635,7,1,2,0.5,0,0,1,0,0,4.5,1,1
1297,bechangne97,1110747240455230000,2,226459,1,226459.0,1,0,15,302,124,3.7,1,0
1298,cogiaosamsam1,1069915218631770000,3,183168,21,8722.29,0,0,1674,4025,98,1.5,0,0
1299,cogiao,239349139,10,102,1,102.0,0,0,1,0,0,4.6,1,1
1300,cogiaophuong,1166436232919840000,2,25262,76,332.39,1,0,101,53,17,3.6,1,0
1301,cogiaotrangsexy,1314621024470580000,1,9744,27,360.89,0,0,75,7,8,4.1,1,1
1302,cogiaosinhlydam,1220517367999950000,1,7333,465,15.77,0,0,23,7502,1,3.8,1,0
1303,cogiaoth,1249322366460550000,1,3355,74,45.34,0,0,135,13,3,3.5,1,0
1304,cogiaohuong1796,1093921627144760000,2,2194,95,23.09,0,0,38,119,0,3.2,0,0
1305,hoanunglon,1241991924317220000,1,141777,18,7876.5,0,0,65,70,76,3.3,0,0
1306,amcryptom,1431474084,8,511,232,2.2,0,0,14875,2929,60,0.4,0,0
1307,veralking,1278708708189620000,1,44,1025,0.04,0,0,3588,2982,0,1.8,0,0
1308,sunnydecree,2598689294,7,43779,685,63.91,0,0,6893,4200,309,0.4,0,0
1309,xxplatform,1341693758124020000,1,554,41,13.51,1,0,91,6,1,2.8,0,0
1310,hnalucky_,1372207735152900000,0,24,733,0.03,0,0,2075,510,0,3.0,0,0
1311,bigtanos,1158845537585700000,2,66,382,0.17,0,0,1150,1098,0,2.9,0,0
1312,richardcripto,832778227919695000,4,235,424,0.55,0,0,1096,998,1,1.8,0,0
1313,americaisrome,3266490534,6,25,245,0.1,0,0,566,442,2,0.6,0,0
1314,karachi_post,421845502,10,36783,446,82.47,0,0,201707,13837,308,0.2,0,0
1315,dustinwatchman,3296457397,6,606,910,0.67,1,0,6276,5968,8,0.4,0,0
1316,hengkyi37534868,1306137216108940000,1,70,208,0.34,0,0,2507,145,1,2.4,0,0
1317,buydanny,1375770811924110000,0,8,65,0.12,0,0,50,147,0,3.2,0,0
1318,nannacrypto,1358367515978710000,0,1624,697,2.33,1,0,1612,13417,8,3.0,0,0
1319,cryptobobbins,1364659467871280000,0,12,75,0.16,0,0,145,147,0,1.4,0,0
1320,felan2sajah,1241468434933640000,1,61,99,0.62,0,0,130,0,0,2.9,0,0
1321,sincerehanniel2,1247061571890630000,1,3,144,0.02,0,0,175,113,0,3.8,1,0
1322,granchi4,138059230,11,1489,1283,1.16,0,0,131669,40034,10,1.4,0,0
1323,pumpingaltcoin,2454082958,7,3752,1761,2.13,0,0,9001,285,71,4.4,1,1
1324,jdebunt,278154986,10,6239,1750,3.57,1,0,39654,20883,822,6.0,1,1
1325,nicochan33,19284888,12,87740,80607,1.09,1,0,430223,131426,3698,4.8,1,1
1326,tylercohenwood,1260514195,8,3903,2664,1.47,0,0,7448,7910,132,4.0,1,1
1327,jolaburnett,4174252223,6,41536,32636,1.27,1,0,39913,102707,268,4.1,1,1
1328,pawlowskimario,968008274003005000,3,18993,10530,1.8,1,0,28725,67740,195,4.6,1,1
1329,margaretsiegien,777462371149156000,5,6914,2333,2.96,1,0,18555,35674,119,4.3,1,1
1330,curieuxexplorer,1249601030502750000,1,10141,5089,1.99,1,0,28114,67447,106,4.8,1,1
1331,shicooks,16476911,13,34898,13770,2.53,0,0,372238,143167,2031,4.1,1,1
1332,star95011,860871247,9,21306,12376,1.72,1,0,129049,68971,102,3.2,0,0
1333,terenceleungsf,59303321,12,22719,22358,1.02,1,0,12758,11331,202,3.2,0,0
1334,baski_la,16060248,13,23715,16512,1.44,1,0,49159,142543,309,4.8,1,1
1335,divesteth,1364974508982100000,0,17,17,1.0,1,0,18,7,0,4.0,1,1
1336,scientistrebel1,1308877368627510000,1,2074,803,2.58,1,0,551,511,23,3.2,0,0
1337,ronmuts1,2539041895,7,17,328,0.05,1,0,588,288,0,2.9,0,0
1338,davidhenen3,1364822768672410000,0,115,249,0.46,0,0,8,7,0,4.8,1,1
1339,johnaksenov,1364555074257760000,0,5,22,0.23,0,0,14,18,0,3.9,1,0
1340,ilivinskiy,295778089,10,131,184,0.71,1,0,1214,104,12,2.1,0,0
1341,andrewmergenew,1296638489249940000,1,230,219,1.05,0,0,74,383,6,1.7,0,0
1342,nirmalk91489922,1373841630038340000,0,1,4,0.25,0,0,13,19,0,3.4,0,0
1343,nirmalm26759706,1246817803715260000,1,47,360,0.13,0,0,75,177,0,3.2,0,0
1344,spindog2012,603379718,9,5,30,0.17,0,0,9,313,0,3.0,0,0
1345,horavilove,1307896977099640000,1,64,1296,0.05,1,0,6728,3689,0,2.7,0,0
1346,rumatta1,1370682797816430000,0,3,14,0.21,0,0,10,17,0,4.3,1,1
1347,pater_ngrey,776935408550744000,5,47,103,0.46,1,0,251,430,0,2.3,0,0
1348,mujiyan82500382,1065967365093900000,3,17,174,0.1,0,0,181,610,1,3.2,0,0
1349,benzinga,44060322,12,161475,1200,134.56,1,1,159924,6602,4091,1.3,0,0
1350,ankitku22601996,1375328722782360000,0,0,1,0.0,0,0,2,2,0,4.2,1,1
1351,buiwara,343157301,10,154,171,0.9,0,0,187,549,1,2.0,0,0
1352,glapacha,820166162,9,704,401,1.76,1,0,546,1921,1,2.9,0,0
1353,sakai_makoto,978645597745008000,3,282,300,0.94,0,0,4912,6287,12,1.1,0,0
1354,c4llist4q,1719245137,8,8,433,0.02,0,0,396,288,1,3.6,1,0
1355,safelytothemoon,1372807874141810000,0,20,26,0.77,0,0,52,353,0,2.6,0,0
1356,harmony_one17,1083778166659920000,2,138,435,0.32,0,0,440,733,1,1.2,0,0
1357,matzriego,1350437075116420000,0,27,877,0.03,0,0,2883,975,0,2.3,0,0
1358,therealxinxi,727071292805910000,5,31091,307,101.27,1,0,5433,2479,395,0.2,0,0
1359,ltcpaycom,979331308542312000,3,1725,5,345.0,1,0,19,4,15,3.0,0,0
1360,osneakyfox,1368582619697470000,0,0,1,0.0,0,0,88,0,0,3.9,1,0
1361,cavs,19263978,12,3257401,2037,1599.12,1,1,56403,23351,8624,0.4,0,0
1362,nba_kings_,123849601,11,2422,1226,1.98,1,0,2389,0,77,4.1,1,1
1363,__kylexyz,1374307955277910000,0,14,134,0.1,0,0,12,100,0,4.2,1,1
1364,botofdogecoin,957538266416283000,3,18674,11,1697.64,0,0,180797,5,32,4.1,1,1
1365,coinok,2232163009,8,10204,3327,3.07,1,0,439567,193,399,4.3,1,1
1366,friday_js_bot,1278273884903500000,1,2394,61,39.25,0,0,468442,7,48,4.1,1,1
1367,yumi20130402,788939322305024000,5,27,14,1.93,0,0,3359,0,0,4.8,1,1
1368,parmjitsandh,1360541942203830000,0,18,102,0.18,0,0,183,63,0,2.9,0,0
1369,barryslibert7,1375564443606650000,0,2,33,0.06,0,0,138,1,2,3.7,1,0
1370,0xpolygon,914738730740715000,4,154189,540,285.54,1,0,2819,1576,966,1.6,0,0
1371,jkm7791,568794124,9,67,557,0.12,0,0,1373,417,1,2.1,0,0
1372,mariamancke,1280950518844720000,1,67,238,0.28,0,0,18243,14247,4,3.2,0,0
1373,anita_milewska,821751160256270000,4,562,1486,0.38,0,0,70308,65719,13,3.2,0,0
1374,heyutzuyu,1339449885519610000,1,527,3855,0.14,1,0,24747,10124,0,2.0,0,0
1375,crypto_serbia,1375877013987320000,0,0,9,0.0,0,0,1,1,0,4.6,1,1
1376,scottmelker,17351167,13,280560,1218,230.34,1,1,90463,87406,3783,0.2,0,0
1377,fabiangonzalob1,1221717503069570000,1,3,44,0.07,0,0,228,12,0,3.0,0,0
1378,crypto201p,1372716653541160000,0,1,15,0.07,0,0,4,1,0,4.6,1,1
1379,anupamb68208040,1243413963238340000,1,80,331,0.24,0,0,317,205,1,2.0,0,0
1380,ethrollcasino,1314535515195130000,1,9779,14,698.5,1,0,237,6,7,4.0,1,1
1381,myster_eeee,1020056731945170000,3,2535,777,3.26,1,0,20530,66819,39,0.3,0,0
1382,linkpoolio,937037383756931000,4,12435,283,43.94,1,0,755,957,102,1.0,0,0
1383,henrikgg,241532856,10,356,555,0.64,1,0,9193,18,50,4.6,1,1
1384,erik_hansson,28639288,12,12859,11063,1.16,1,0,49617,35712,812,0.7,0,0
1385,deeped,5311232,14,14327,1806,7.93,1,0,271418,5183,779,0.7,0,0
1386,akn85591433,1360947822057710000,0,3,14,0.21,0,0,78,168,0,4.1,1,1
1387,skywalkerist,816000420871016000,4,3126,70,44.66,0,0,537,1665,5,3.4,0,0
1388,gulatezy,1315012955495230000,1,21,34,0.62,0,0,85,8,0,3.8,1,0
1389,bad_robot0,875272002,9,7,116,0.06,0,0,187,130,0,2.9,0,0
1390,bitcoinassetx,1367421015416910000,0,13158,61,215.7,1,0,60,78,3,2.9,0,0
1391,cryptojunkie18,1088415525150050000,2,96,438,0.22,0,0,1180,1482,3,0.2,0,0
1392,niocordova1,1105495362582670000,2,34,541,0.06,1,0,442,91,0,3.5,1,0
1393,snoopdogg,3004231,14,19346848,2640,7328.35,1,1,41505,2841,40626,0.1,0,0
1394,soniyaaktar14,1273210124794910000,1,68,539,0.13,0,0,823,550,0,2.0,0,0
1395,adebisi5811,1357046353021530000,0,13,96,0.14,0,0,141,91,0,2.2,0,0
1396,_therealtai,1328656842751300000,1,69,301,0.23,0,0,2531,6061,1,4.0,1,1
1397,thegundogduemre,976140903617310000,3,137,234,0.59,0,0,10788,35071,0,0.8,0,0
1398,cameron,250980843,10,427875,1477,289.69,1,1,4923,4838,3782,0.2,0,0
1399,henktoepoer,2346795098,7,2402,4987,0.48,0,0,358083,25,50,2.0,0,0
1400,don_tron_,951478667783352000,3,187,543,0.34,0,0,1834,1878,2,0.2,0,0
1401,dnb_nl,271407673,10,19778,171,115.66,1,1,3107,108,401,2.4,0,0
1402,klaasknot,301954663,10,4550,0,0.0,1,0,113,5,84,2.0,0,0
1403,nieuwsuur,93474576,12,353189,418,844.95,1,1,31394,177,1576,3.4,0,0
1404,ase232003,26991734,12,181,139,1.3,0,0,10524,1882,0,0.0,0,0
1405,criptotendencia,859792305045241000,4,23615,101,233.81,1,0,16032,14869,307,1.2,0,0
1406,cryptocengaveri,953334897141264000,3,8,649,0.01,0,0,206,599,0,1.7,0,0
1407,satoshinkuzeni,219661294,11,15228,286,53.24,0,0,3670,13900,86,1.1,0,0
1408,bkexvietnam,1243109667464560000,1,38,102,0.37,1,0,481,302,0,6.0,1,1
1409,combkex,1006365249149070000,3,22468,70,320.97,1,0,1452,240,68,1.8,0,0
1410,bridge_oracle,1281920092134090000,1,122599,131,935.87,1,0,619,1637,41,1.2,0,0
1411,nguyen__kyo,2914826120,7,37,451,0.08,1,0,260,82,2,3.6,1,0
1412,anfibiofacundo,1307329180149960000,1,75,174,0.43,0,0,3561,6566,0,1.8,0,0
1413,bibs_sbib08,819599606,9,200,1237,0.16,0,0,8859,7115,0,2.2,0,0
1414,th1nkhard_,919885677608673000,4,784,2192,0.36,1,0,12913,25243,9,0.4,0,0
1415,bitcoinstimulus,1247302395165580000,1,25499,75,339.99,1,0,131,2130,197,2.7,0,0
1416,wangzacharykim,1336719995162640000,1,1560,918,1.7,1,0,5548,5411,1,2.2,0,0
1417,drl2krypto,1317414969101760000,1,145,137,1.06,0,0,517,1184,0,1.7,0,0
1418,pajeetgonzales,806144755289772000,5,951,121,7.86,0,0,578,1883,3,0.4,0,0
1419,emantenankok,1241036188917490000,1,67,108,0.62,0,0,130,0,0,3.2,0,0
1420,tek_teknoloji,2530187922,7,3158,3518,0.9,1,0,2328,8221,5,1.0,0,0
1421,tek_teknolojii,839368678659534000,4,108,119,0.91,0,0,1137,1145,2,1.0,0,0
1422,kaloyandrenski,298206318,10,52,40,1.3,1,0,241,209,0,0.8,0,0
1423,harmonyprotocol,1006055524666820000,3,107775,447,241.11,1,0,3344,5226,444,0.7,0,0
1424,ussharmony,2303418218,7,2291,821,2.79,1,0,9392,6790,7,0.9,0,0
1425,nlbitcoinreport,3111247474,6,1922,91,21.12,1,0,9158,7315,181,3.8,1,0
1426,asanuddin14,1359308719520050000,0,36,109,0.33,0,0,165,87,0,2.8,0,0
1427,bomshot,50921000,12,14729,957,15.39,1,0,3494,1678,18,1.3,0,0
1428,oluchi48939968,1318907372908260000,1,5,13,0.38,0,0,9,4,0,3.7,1,0
1429,aasho288,1048554758695460000,3,25,180,0.14,0,0,527,375,0,3.9,1,0
1430,chatwitjon,118035178,11,2375,1964,1.21,0,0,21372,16752,2,1.4,0,0
1431,frosezyow,1314626220647040000,1,20,30,0.67,0,0,151,15,0,3.6,1,0
1432,a2dao_,1355755255028450000,0,10795,156,69.2,0,0,25,4,14,3.5,1,0
1433,elbbard,1306967438215570000,1,0,21,0.0,0,0,11,2,0,4.8,1,1
1434,ninalisandrello,746579184,9,34943,1506,23.2,1,1,11361,23434,231,0.8,0,0
1435,varnado,17542254,13,6330,1407,4.5,1,1,14943,5093,169,0.2,0,0
1436,allestheaa,1375688332886200000,0,246,238,1.03,0,0,993,177,1,2.3,0,0
1437,eunicebrown86,1261403137069510000,1,5102,546,9.34,0,0,84614,16303,5,1.8,0,0
1438,shopfeets_,1105749939890590000,2,12691,1733,7.32,1,0,3173,1152,29,3.7,1,0
1439,shahmir889,2270189719,8,222,742,0.3,1,0,12571,13375,4,1.0,0,0
1440,shiestevanus,934479611953426000,4,143,864,0.17,0,0,1176,1879,0,1.2,0,0
1441,vadim_everstake,1329089816009400000,1,32,58,0.55,0,0,23,107,1,3.6,1,0
1442,ki_foundation,957201694584164000,3,1620,289,5.61,1,0,142,373,5,1.6,0,0
