,Screen Name,Id,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Botometer,Bot: 3.5 Threshold,Bot: 4.0 Threshold
428,kusamanetwork,1141423436671200000,2,45539,0,0.0,1,0,790,245,431,2.4,0,0
429,solarcoin_slr,2244295159,8,6977,2977,2.34,1,0,3090,2129,322,0.6,0,0
430,andy_zbg,1309364091668970000,1,1473,109,13.51,1,0,135,1121,0,2.8,0,0
431,andy__zbg,1324276005201080000,1,1670,65,25.69,1,0,186,1353,0,2.9,0,0
432,lehnemanncoelho,3026588740,6,341,1892,0.18,0,0,5461,43470,9,0.5,0,0
433,coincornerdanny,3134716842,6,17892,2376,7.53,1,0,9908,32248,237,0.0,0,0
434,xentagz,14717442,13,28454,196,145.17,1,0,99399,49344,988,0.6,0,0
435,petermccormack,893818632089763000,4,148569,2337,63.57,1,1,32611,40299,2538,0.4,0,0
436,whatbitcoindid,14101605,13,18645,207,90.07,1,0,895,425,339,1.6,0,0
437,danheld,1598709350,8,164510,848,194.0,1,0,53338,145830,2736,0.5,0,0
438,americanhodl3,1360561251659570000,0,17575,607,28.95,0,0,2267,14433,211,2.9,0,0
439,iost_de_oku,1345401598558670000,0,120,157,0.76,0,0,4105,5865,1,4.0,1,1
440,robert4crypto,946627342763520000,4,15,92,0.16,0,0,273,3547,0,0.9,0,0
441,bitterz_co_jp,2707020229,7,2641,2217,1.19,0,0,4564,662,3,3.7,1,0
442,ojiogup,1376458340830730000,0,0,13,0.0,0,0,4,0,0,4.2,1,1
443,jan_kluitenberg,1364616842539500000,0,104,184,0.57,0,0,4,6,0,4.6,1,1
444,cryptozahid,940318100574097000,4,374,4449,0.08,0,0,20893,12861,3,2.0,0,0
445,pi_bot1,1364375261085540000,0,2384,3,794.67,1,0,10,3,1,4.1,1,1
446,btclebrando,3399352103,6,2625,3964,0.66,0,0,21562,17234,15,1.2,0,0
447,juanencripto,736500092719509000,5,10225,936,10.92,1,0,5309,10528,165,1.1,0,0
448,salve10745356,1367702954908680000,0,69,514,0.13,0,0,1108,897,0,2.8,0,0
449,news_of_bsc,1323762343302610000,1,45466,99,459.25,1,0,555,583,308,2.8,0,0
450,fusionprotocol,940430783965040000,4,18545,150,123.63,1,0,797,807,163,1.1,0,0
451,nendrarizki,1041073430068490000,3,15,144,0.1,0,0,125,19,0,3.4,0,0
452,defiqa3,1355998406561420000,0,32191,28,1149.68,0,0,12,15,10,3.2,0,0
453,losezesy,1315521260332350000,1,20,36,0.56,0,0,74,76,0,4.0,1,1
454,heyitsseng,1342066927900880000,1,30,1666,0.02,1,0,8268,4465,0,2.4,0,0
455,soufianeazza,1374707155,8,130,182,0.71,1,0,237,1020,0,3.3,0,0
456,poolz,132918578,11,0,2,0.0,0,0,1,0,0,6.0,1,1
457,jaberi68310613,1373274377727340000,0,1,10,0.1,0,0,11,1,0,3.7,1,0
458,zs63700885,1045241971042740000,3,1,31,0.03,0,0,7,6,0,4.8,1,1
459,comosf,1370398640330650000,0,7840,11,712.73,1,0,36,14,3,4.0,1,1
460,basgodee,1355121659477370000,0,5,14,0.36,0,0,86,246,0,1.8,0,0
461,kingwhiz_47,860775706753720000,4,1266,2386,0.53,0,0,13262,34637,5,0.2,0,0
462,jelurida,775713041946116000,5,25346,147,172.42,1,0,4324,3589,260,1.8,0,0
463,madfox1234,185307943,11,1153,1021,1.13,0,0,1614,4687,5,0.7,0,0
464,s3miobqa8xu5ifu,1139564889674960000,2,974,3499,0.28,0,0,25608,168225,4,2.9,0,0
465,bitcoin_sougo,804577546872336000,5,17582,17080,1.03,0,0,49295,85116,36,4.1,1,1
466,ddgenessis,238162881,10,722,2154,0.34,1,0,35038,7797,1,0.8,0,0
467,apes_crypto,1370452898384110000,0,711,622,1.14,1,0,507,756,4,3.0,0,0
468,opensea,946213559213555000,4,119255,376,317.17,1,0,2654,5072,1273,0.6,0,0
469,oaktreefinances,1307172598594190000,1,8420,456,18.46,1,0,118,63,9,2.7,0,0
470,isaacnnamdi12,1366068319867050000,0,10,123,0.08,0,0,196,148,0,3.2,0,0
471,shynne2711,1166639808581510000,2,81,1222,0.07,0,0,7794,4226,1,1.6,0,0
472,leonsaus,1130909842325950000,2,68,215,0.32,0,0,1734,153,0,2.0,0,0
473,mxcfoundation,981870409019731000,3,13784,79,174.48,1,0,2057,2981,57,1.0,0,0
474,patricelive,107405712,11,218,870,0.25,0,0,3428,5192,9,0.2,0,0
475,inspocrypto,755731653910200000,5,803,1089,0.74,0,0,8056,10271,26,0.8,0,0
476,voskcoin,892383987573956000,4,14323,49,292.31,1,0,2997,2065,106,0.5,0,0
477,mr78jones,1538495606,8,71,107,0.66,0,0,3665,17696,1,0.9,0,0
478,jellefm,109818105,11,1472,108,13.63,1,0,435,375,12,2.0,0,0
479,bitterz_org,1076206563465950000,3,168,170,0.99,0,0,99,45,0,3.6,1,0
480,rakelitaart,1363147396469970000,0,188,288,0.65,0,0,165,113,0,2.5,0,0
481,bosairdrop,1324615239703250000,1,100,413,0.24,0,0,503,542,0,2.8,0,0
482,beedaoofficial,1371319453829370000,0,9928,2,4964.0,1,0,16,3,1,3.8,1,0
483,mananjitk,1357259228407330000,0,3,29,0.1,0,0,8,3,0,4.1,1,1
484,naffu77,1232601174412410000,1,134,683,0.2,0,0,896,1658,2,2.5,0,0
485,ciarahuobi,1041154075289570000,3,32747,328,99.84,1,1,570,2436,94,0.4,0,0
486,mxc_exchange,978566222282444000,3,75388,653,115.45,1,0,3536,2734,275,1.8,0,0
487,jayhao8,1072795518567230000,3,20951,663,31.6,1,1,3141,7909,180,0.8,0,0
488,coinbasepro,720487892670410000,5,420620,7,60088.57,1,1,931,46,3551,3.2,0,0
489,7coinbangladesh,1326084829926960000,1,3,4,0.75,1,0,47,100,0,3.6,1,0
490,coinmc17,2155817612,8,128156,416,308.07,0,0,20189,43501,261,1.8,0,0
491,coingecko,2412652615,7,194607,431,451.52,1,0,20684,15330,1650,0.9,0,0
492,cryptona38,970669409650950000,3,306,1739,0.18,1,0,11133,8228,3,2.0,0,0
493,dwinandakevin,1367272524816330000,0,11,132,0.08,0,0,251,174,0,3.2,0,0
494,defimoonfinance,1357363242348070000,0,1587,0,0.0,1,0,2,0,0,4.1,1,1
495,mariabellayvan1,1366653822408420000,0,7,24,0.29,0,0,7,1,0,4.0,1,1
496,alexanderelvern,1366653134517320000,0,8,32,0.25,0,0,10,2,0,4.0,1,1
497,billyrendywija1,1366651304060210000,0,7,30,0.23,0,0,12,2,0,3.6,1,0
498,aconk31928743,1364786383093600000,0,14,139,0.1,0,0,259,164,0,3.2,0,0
499,bvkrisna,1365645099804200000,0,17,355,0.05,0,0,612,392,1,3.6,1,0
500,211supriyatno,1098566117746910000,2,2041,4766,0.43,1,0,1285,1473,0,3.4,0,0
501,criptoroes,1212661554690180000,1,393,197,1.99,1,0,396,306,4,2.2,0,0
502,emirex_official,801370030726381000,5,14791,728,20.32,1,0,993,499,13,3.8,1,0
503,nc131_,1287634402990640000,1,2,4,0.5,0,0,5,21,0,3.8,1,0
504,trijuanma,864633716,9,283,472,0.6,0,0,15727,11994,2,0.6,0,0
505,bloctrends,1275480096493700000,1,6288,180,34.93,1,0,1262,1170,58,2.8,0,0
506,athleticspr,969341190284824000,3,5945,23,258.48,0,0,1941,0,146,1.4,0,0
507,cryptorommel,1162708626311500000,2,964,3124,0.31,0,0,10464,7687,2,1.6,0,0
508,turkcryp,1259367340082410000,1,200,633,0.32,0,0,2017,15172,4,2.0,0,0
509,moneymcdowell,83950321,12,373,742,0.5,1,0,21430,2732,1,0.2,0,0
510,boomvermeer,1371460375724610000,0,113,658,0.17,1,0,320,211,0,2.4,0,0
511,nfturds,1374163012991380000,0,205,586,0.35,1,0,584,985,1,3.0,0,0
512,adomk_3sdre,1043236492678710000,3,1254,1845,0.68,0,0,72728,26578,0,1.7,0,0
513,chookzn,43139042,12,1084,191,5.68,1,0,10125,5442,26,0.6,0,0
514,tiyehjahe,1315229613384100000,1,20,19,1.05,0,0,69,3,0,3.8,1,0
515,jeciqisahyr,3246169540,6,14,517,0.03,0,0,190,40,0,5.0,1,1
516,_grvsy,1320323489606190000,1,161,199,0.81,1,0,2220,2324,0,2.0,0,0
517,thecrow_crypto,1280654913413010000,1,1549,966,1.6,1,0,3648,9315,15,1.7,0,0
518,nftfusion,1369810612818030000,0,173,0,0.0,0,0,3,3,0,4.1,1,1
519,ninanganne,1304665731833880000,1,14955,694,21.55,0,0,13053,5175,100,1.8,0,0
520,microtruffle,982924350167879000,3,4603,440,10.46,0,0,1755,3818,6,1.4,0,0
521,cosmos,15223775,13,92985,355,261.93,1,0,2591,5234,1150,1.6,0,0
522,zilswap,1358693628705520000,0,2786,122,22.84,1,0,79,119,10,3.2,0,0
523,huobieco,996593851543400000,3,78,18,4.33,1,0,3,0,0,4.4,1,1
524,cyberrexes,1372624417449240000,0,500,677,0.74,1,0,591,889,1,3.4,0,0
525,jsheamaye,1177171639856840000,2,333,1585,0.21,0,0,15371,49037,1,1.4,0,0
526,lefterisjp,43949721,12,10077,653,15.43,1,0,24649,24184,361,0.4,0,0
527,rotkiapp,970076266157281000,3,3076,16,192.25,1,0,1946,3144,61,1.2,0,0
528,alekseyxepakc,1379928457,8,22,80,0.28,0,0,124,199,0,3.2,0,0
529,bbcworld,742143,14,31500685,70,450009.79,1,1,324177,13,123110,3.2,0,0
530,bitterz_japan,3054359659,6,2713,2295,1.18,0,0,4070,726,4,4.0,1,1
531,l3ixto,2188482262,8,1209,168,7.2,0,0,444,3192,2,0.6,0,0
532,sekaikabuka,294358043,10,1997,693,2.88,1,0,548544,181594,59,4.2,1,1
533,ktckm4649,4832109467,5,5297,553,9.58,0,0,183899,5820,108,4.0,1,1
534,meatbitcoin,1373470885869460000,0,15,251,0.06,0,0,103,92,0,1.8,0,0
535,blockbain,2420899951,7,2572,1846,1.39,1,0,3587,67114,62,0.4,0,0
536,forhad_op,1141608194218680000,2,1,9,0.11,0,0,81,51,0,3.6,1,0
537,rupeesreturns,1085665723186310000,2,55,1415,0.04,0,0,1275,4043,1,1.9,0,0
538,subex,107364486,11,3078,1443,2.13,1,0,4579,984,98,2.8,0,0
539,centolcity,1361053463963040000,0,289,507,0.57,1,0,2422,1639,0,3.0,0,0
540,farooq38227020,1370738062553010000,0,5,10,0.5,0,0,85,57,0,4.1,1,1
541,riegopick_me,1216345535411410000,1,161,2918,0.06,0,0,15662,5366,0,2.8,0,0
542,khaloode_vi,1386739446,8,198,872,0.23,0,0,2340,4987,0,6.0,1,1
543,trading_fx93sy,1082778399070770000,2,447,1112,0.4,0,0,28765,23627,10,0.8,0,0
544,btc_break,915215239699775000,4,7481,0,0.0,0,0,9377,0,64,5.0,1,1
545,legal38947786,1369496173975900000,0,14,2,7.0,0,0,1300,1269,0,4.0,1,1
546,bitcoin_yatirim,1375924913580690000,0,20,0,0.0,1,0,1,0,0,4.7,1,1
547,noor_aljulawi,1000147785621040000,3,47,286,0.16,0,0,180,7890,0,0.6,0,0
548,sonson_ch,1260872002954570000,1,1306,16,81.63,1,0,56970,54270,7,3.4,0,0
549,bmurphypointman,617853906,9,69735,4650,15.0,1,0,999292,23,550,4.1,1,1
550,faheemkhalil8,1254301195772060000,1,5,59,0.08,0,0,53,38,0,4.1,1,1
551,calomas,19897450,12,3630,4522,0.8,1,0,14065,13014,513,1.2,0,0
552,wesjamie,2866422976,7,256,1382,0.19,1,0,1289,2628,4,0.8,0,0
553,jujus560,789425236399841000,5,87,3016,0.03,0,0,9247,2662,0,2.5,0,0
554,scryptoschool,1277050926017080000,1,16852,323,52.17,1,0,1450,199,39,3.9,1,0
555,conflux_network,1082011146117430000,2,27533,562,48.99,1,0,1721,2066,60,1.0,0,0
556,airdropspotter,1241519633741410000,1,3838,59,65.05,1,0,488,71,0,2.2,0,0
557,akikul43,1293815365496050000,1,37,297,0.12,0,0,376,184,0,2.8,0,0
558,han_aib,1301842477167540000,1,27,67,0.4,0,0,24,868,0,3.2,0,0
559,insomnialts,1265936010464160000,1,226,1293,0.17,0,0,1164,596,2,3.2,0,0
560,poloniex,2288889440,7,280065,56,5001.16,1,1,6466,616,3053,1.2,0,0
561,blankwallet,1340725902976700000,1,22514,109,206.55,1,0,75,154,88,3.1,0,0
562,cryphodlr,1369363559411550000,0,75,337,0.22,0,0,5769,2755,1,2.9,0,0
563,mszmidt1210,854018740182188000,4,370,729,0.51,1,0,3004,3278,3,1.6,0,0
564,_justsmileokay,1328164851407940000,1,553,676,0.82,0,0,3331,4836,0,2.9,0,0
565,msmodi02,1150735000293140000,2,27,635,0.04,0,0,1195,702,0,2.0,0,0
566,bpsinghmot,952374261674475000,3,14,102,0.14,0,0,164,92,0,3.6,1,0
567,zekenyme,4091182408,6,962,2629,0.37,0,0,5832,5138,11,1.0,0,0
568,getbabb,905479844426907000,4,16314,2,8157.0,1,0,1826,1164,134,1.6,0,0
569,revenant_donkey,1521950317,8,5343,141,37.89,0,0,401,125,1,1.6,0,0
570,cardibot1,1371754920043360000,0,1279,574,2.23,0,0,105,117,0,3.2,0,0
571,mozartfinance,1364479534800760000,0,4796,9,532.89,0,0,81,277,13,2.9,0,0
572,immunebytes,1275889415802380000,1,213,199,1.07,1,0,138,29,2,2.4,0,0
573,samuelmokale,113908584,11,0,223,0.0,0,0,1067,5,0,3.9,1,0
574,wahryu,82061894,12,93,291,0.32,0,0,459,110,0,2.9,0,0
575,wizdone42,2654002196,7,51,410,0.12,0,0,815,1090,0,2.0,0,0
576,cryptotvplus,958321713439272000,3,6220,835,7.45,1,0,3359,5493,5,3.5,1,0
577,seundania,38634285,12,283,1277,0.22,1,0,1672,3367,0,0.1,0,0
578,tradefada,938060419750678000,4,147,38,3.87,1,0,139,92,1,1.2,0,0
579,tewrfaesdad34,1332332285505370000,1,1,70,0.01,0,0,84,51,0,3.5,1,0
580,_thecryptoman,1220054015368620000,1,268,197,1.36,1,0,3880,15808,1,2.7,0,0
