Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
pankaj_delta_ex,9,1701,1247,1.36,1,0,1516,2572,35,0
benefit_mercy,0,2,12,0.17,0,0,48,46,0,1
puerttoriko2020,1,36,493,0.07,0,0,1043,335,4,0
holyjony_,0,79,230,0.34,0,0,83,161,0,0
btcanaliz,4,55960,148,378.11,1,0,3361,746,314,0
mesawine1,4,5485,193,28.42,0,0,6014,5723,115,0
marcpolot,1,18,364,0.05,0,0,589,385,0,0
successtodayfx,9,2751,4931,0.56,1,0,475,2608,53,0
faizan73997984,1,0,56,0.0,0,0,46,65,0,1
bibs_sbib08,9,200,1237,0.16,0,0,8859,7115,0,0
cryphodlr,0,75,337,0.22,0,0,5769,2755,1,0
banerz_jr,10,2503,1747,1.43,0,0,18386,18596,3,0
2002vales,8,2,99,0.02,0,0,2,39,0,1
01hodl,4,1270,422,3.01,1,0,1225,3185,30,0
dialogun,7,23,50,0.46,0,0,92,1,0,0
jixsaa,10,121,818,0.15,0,0,2443,9909,4,0
chainlink,8,205378,121,1697.34,1,0,927,31,1917,0
donniebigbags,5,34428,2542,13.54,1,0,5569,12736,257,0
layahheilpern,9,58718,875,67.11,1,0,38908,54792,368,0
mir_btc,12,29338,994,29.52,1,0,14809,55647,637,0
george09918636,0,0,2,0.0,0,0,2,0,0,1
jackjack1026,1,92,1304,0.07,0,0,2907,3451,2,0
haboubianis,9,1489,331,4.5,0,0,13279,8421,347,0
shecrypto,3,1194,323,3.7,0,0,4923,7514,8,0
tentaclez69,1,1,11,0.09,0,0,2,3,0,0
hallokrypto,2,235,469,0.5,1,0,1659,3686,4,0
cryptopaniccom,4,8728,22,396.73,1,0,15666,178,228,1
